B01003_001E,NAME,state,county,tract
4494,Census Tract 1.01; Travis County; Texas,48,453,000101
4028,Census Tract 307; Travis County; Texas,48,453,030700
4429,Census Tract 308; Travis County; Texas,48,453,030800
7581,Census Tract 309; Travis County; Texas,48,453,030900
4342,Census Tract 310; Travis County; Texas,48,453,031000
5101,Census Tract 311; Travis County; Texas,48,453,031100
6548,Census Tract 312; Travis County; Texas,48,453,031200
3918,Census Tract 313; Travis County; Texas,48,453,031300
4387,Census Tract 314; Travis County; Texas,48,453,031400
7204,Census Tract 315; Travis County; Texas,48,453,031500
2237,Census Tract 316; Travis County; Texas,48,453,031600
4729,Census Tract 317; Travis County; Texas,48,453,031700
4499,Census Tract 318; Travis County; Texas,48,453,031800
5231,Census Tract 319; Travis County; Texas,48,453,031900
6303,Census Tract 320; Travis County; Texas,48,453,032000
5181,Census Tract 321; Travis County; Texas,48,453,032100
2047,Census Tract 322; Travis County; Texas,48,453,032200
4160,Census Tract 323; Travis County; Texas,48,453,032300
1537,Census Tract 324; Travis County; Texas,48,453,032400
4638,Census Tract 325; Travis County; Texas,48,453,032500
6080,Census Tract 326; Travis County; Texas,48,453,032600
4430,Census Tract 327; Travis County; Texas,48,453,032700
2738,Census Tract 328; Travis County; Texas,48,453,032800
8143,Census Tract 329; Travis County; Texas,48,453,032900
7097,Census Tract 330; Travis County; Texas,48,453,033000
4853,Census Tract 331; Travis County; Texas,48,453,033100
5256,Census Tract 332; Travis County; Texas,48,453,033200
9180,Census Tract 333; Travis County; Texas,48,453,033300
3300,Census Tract 334; Travis County; Texas,48,453,033400
5532,Census Tract 335; Travis County; Texas,48,453,033500
4217,Census Tract 336; Travis County; Texas,48,453,033600
2855,Census Tract 337; Travis County; Texas,48,453,033700
4479,Census Tract 338; Travis County; Texas,48,453,033800
5626,Census Tract 339; Travis County; Texas,48,453,033900
6908,Census Tract 340; Travis County; Texas,48,453,034000
6570,Census Tract 341; Travis County; Texas,48,453,034100
6097,Census Tract 342; Travis County; Texas,48,453,034200
4205,Census Tract 343; Travis County; Texas,48,453,034300
2370,Census Tract 344; Travis County; Texas,48,453,034400
2430,Census Tract 345; Travis County; Texas,48,453,034500
3905,Census Tract 346; Travis County; Texas,48,453,034600
5191,Census Tract 347; Travis County; Texas,48,453,034700
5020,Census Tract 348; Travis County; Texas,48,453,034800
8788,Census Tract 349; Travis County; Texas,48,453,034900
7225,Census Tract 350; Travis County; Texas,48,453,035000
3789,Census Tract 351; Travis County; Texas,48,453,035100
3768,Census Tract 352; Travis County; Texas,48,453,035200
1603,Census Tract 353; Travis County; Texas,48,453,035300
5327,Census Tract 354; Travis County; Texas,48,453,035400
4023,Census Tract 355; Travis County; Texas,48,453,035500
2035,Census Tract 356; Travis County; Texas,48,453,035600
4591,Census Tract 357; Travis County; Texas,48,453,035700
3907,Census Tract 358; Travis County; Texas,48,453,035800
2456,Census Tract 359; Travis County; Texas,48,453,035900
2053,Census Tract 360; Travis County; Texas,48,453,036000
5375,Census Tract 361; Travis County; Texas,48,453,036100
2026,Census Tract 362; Travis County; Texas,48,453,036200
1747,Census Tract 363; Travis County; Texas,48,453,036300
2741,Census Tract 364; Travis County; Texas,48,453,036400
6888,Census Tract 365; Travis County; Texas,48,453,036500
9152,Census Tract 366; Travis County; Texas,48,453,036600
7370,Census Tract 367; Travis County; Texas,48,453,036700
